employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
58536,Finance,region_31,Bachelor's,m,other,2,26,1.0,2,0,0,61,0
35465,Sales & Markting,region_7,,f,sourcing,1,24,1.0,2,0,0,48,0
51756,Opperations,region_2,Bachelor's,m,sourcing,2,57,4.0,6,0,0,58,0
57011,Analytics,region_22,Bachelor's,m,other,2,27,5.0,3,1,0,87,0
77064,Sales & Markting,region_22,Bachelor's,m,other,1,40,2.0,4,1,0,47,0
64062,Technoogy,region_28,Bachelor's,m,sourcing,1,33,4.0,4,1,0,75,0
47123,Sales & Markting,region_7,Bachelor's,,sourcing,1,40,5.0,3,0,0,47,0
56275,Sales & Markting,region_1,Master's & above,m,other,1,42,5.0,5,1,0,51,0
58304,Sales & Markting,region_28,Bachelor's,m,sourcing,1,33,5.0,6,1,0,51,1
25014,,region_15,Bachelor's,,other,1,34,3.0,10,0,0,80,0
40097,Opperations,region_2,Bachelor's,f,other,2,23,4.0,2,1,0,57,0
23560,HR,region_2,Bachelor's,m,sourcing,1,59,4.0,26,1,0,52,0
17423,Sales & Markting,region_2,,m,other,3,24,,2,0,0,48,0
61758,Analytics,region_2,Bachelor's,m,other,1,44,5.0,12,0,0,88,0
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5.0,11,0,0,71,0
17876,Procurement,region_13,Master's & above,f,other,1,37,4.0,4,0,0,71,0
36924,Technoogy,region_16,Bachelor's,m,sourcing,1,40,3.0,11,0,0,80,0
50408,Sales & Markting,region_20,Bachelor's,,sourcing,1,30,3.0,3,1,0,49,0
18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3.0,12,0,0,73,0
24104,Finance,region_2,Bachelor's,,sourcing,1,20,4.0,2,1,0,60,0
32083,Sales & Markting,region_25,Bachelor's,f,sourcing,1,31,3.0,8,0,0,48,0
38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3.0,12,1,0,65,0
33690,HR,region_22,Bachelor's,m,other,1,30,1.0,6,0,0,50,0
73161,Opperations,region_22,Bachelor's,m,other,1,39,3.0,5,1,0,62,0
13596,Analytics,region_31,Bachelor's,m,other,2,26,2.0,2,0,0,85,0
45709,Sales & Markting,region_31,,f,other,1,29,,1,0,0,49,0
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3.0,5,1,0,84,0
26599,Sales & Markting,region_16,Bachelor's,m,other,2,27,,1,1,0,47,0
32656,Sales & Markting,region_19,Bachelor's,m,other,1,40,4.0,7,0,0,52,0
17673,Sales & Markting,region_4,Master's & above,m,other,1,50,4.0,17,1,0,47,1
3113,Sales & Markting,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,0,53,0
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,1,0,80,0
14107,Sales & Markting,region_1,Master's & above,m,sourcing,1,35,4.0,2,1,0,52,0
58747,R&D,region_26,,m,other,1,34,,5,0,0,87,0
3342,Opperations,region_13,Master's & above,f,sourcing,1,31,3.0,3,1,0,58,0
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,1,58,1
16502,Sales & Markting,region_22,Bachelor's,m,sourcing,1,27,,1,0,0,61,1
73729,Procurement,region_10,Bachelor's,m,other,1,30,4.0,6,1,0,75,0
45624,Analytics,region_31,Bachelor's,m,other,1,30,,7,1,0,84,1
75677,Opperations,region_22,Bachelor's,f,other,1,50,5.0,5,1,0,59,0
24040,Technoogy,region_22,Master's & above,m,other,1,34,,7,1,0,78,1
68082,Sales & Markting,region_2,Master's & above,f,sourcing,1,41,1.0,12,0,0,52,0
51786,Sales & Markting,region_16,Bachelor's,m,sourcing,1,32,4.0,6,0,0,44,0
77577,Sales & Markting,region_7,Bachelor's,m,other,1,50,3.0,14,0,0,52,0
54782,Sales & Markting,region_2,Master's & above,m,sourcing,1,38,4.0,2,1,0,49,1
52368,Sales & Markting,region_27,Bachelor's,m,sourcing,2,29,1.0,5,0,0,51,0
75103,Sales & Markting,region_30,Bachelor's,m,sourcing,1,35,4.0,3,1,0,53,0
7520,Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,1,0,91,0
59147,Sales & Markting,region_22,Bachelor's,m,sourcing,1,30,3.0,3,0,0,58,1
53092,Technoogy,region_2,Bachelor's,m,referred,1,47,3.0,7,0,0,79,0
34564,Opperations,region_4,Master's & above,m,sourcing,1,35,2.0,7,0,0,53,0
66013,Sales & Markting,region_2,,m,sourcing,2,25,3.0,2,0,0,53,0
77135,R&D,region_22,Bachelor's,m,other,1,36,4.0,8,0,0,82,0
44575,Legal,region_7,Bachelor's,m,other,1,29,,1,0,0,65,1
47498,Opperations,region_11,Master's & above,f,sourcing,1,42,5.0,11,1,0,60,1
20798,HR,region_20,Bachelor's,f,sourcing,1,28,2.0,6,0,0,52,0
69094,Sales & Markting,region_2,,m,sourcing,1,39,1.0,9,0,0,49,0
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,1,0,69,1
9589,Sales & Markting,region_31,Bachelor's,f,other,1,31,,1,0,0,51,0
62658,Sales & Markting,region_2,,f,sourcing,1,20,,1,0,0,55,0
21628,Analytics,region_12,,,other,1,34,3.0,8,0,0,85,0
68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,1,0,74,0
44523,HR,region_2,,m,other,1,47,,7,0,0,44,0
35420,Opperations,region_2,Bachelor's,f,other,1,44,4.0,13,0,0,53,0
43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,1,0,86,0
64109,,region_26,Bachelor's,f,sourcing,1,23,,1,0,0,77,0
41983,Opperations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,0,0,57,0
21440,Sales & Markting,region_31,Bachelor's,m,other,1,41,3.0,12,1,0,52,0
51256,Finance,region_2,Master's & above,m,other,1,60,5.0,17,0,0,59,0
66635,Opperations,region_15,Bachelor's,m,other,1,31,5.0,4,1,0,63,1
16027,Opperations,region_26,Bachelor's,f,other,1,37,3.0,11,0,0,57,0
46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,1,0,83,0
28509,Sales & Markting,region_7,Bachelor's,m,other,1,40,5.0,8,1,0,54,0
33587,Sales & Markting,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,0,50,0
21387,Opperations,region_13,Bachelor's,m,other,1,35,4.0,6,1,0,57,1
55927,Opperations,region_13,Master's & above,f,sourcing,1,41,4.0,6,1,0,62,0
60763,Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,0,73,0
53167,Sales & Markting,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,0,50,0
32672,Analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,0,79,0
48785,Sales & Markting,region_22,Bachelor's,m,other,3,29,4.0,2,0,0,49,0
51444,HR,region_13,Bachelor's,f,other,1,30,,1,1,0,54,0
75778,Opperations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,1,0,63,0
14141,Sales & Markting,region_7,Bachelor's,f,other,1,40,3.0,2,1,0,90,1
17894,Sales & Markting,region_2,Bachelor's,m,referred,1,34,5.0,5,0,0,49,0
54380,Sales & Markting,region_4,Bachelor's,f,other,1,31,4.0,2,0,0,46,0
51892,Technoogy,region_2,Bachelor's,m,other,1,27,,2,0,0,86,1
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,0,72,0
38771,Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,1,0,72,1
18959,Technoogy,region_15,Bachelor's,m,other,4,36,4.0,7,0,0,82,0
21137,Technoogy,region_2,Bachelor's,m,sourcing,1,35,4.0,6,0,0,77,0
26097,Sales & Markting,region_25,Master's & above,m,other,1,34,5.0,7,1,0,51,1
38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,0,1,92,1
41746,Opperations,region_22,Bachelor's,f,sourcing,1,27,,1,1,0,58,0
72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,1,0,71,0
5461,Analytics,region_8,Bachelor's,,other,1,28,,1,1,0,83,0
15227,Procurement,region_27,,f,other,1,40,5.0,5,0,0,68,0
66874,Sales & Markting,region_27,Bachelor's,f,other,1,30,,1,0,0,50,0
42068,Opperations,region_1,,m,other,1,38,5.0,9,1,0,61,0
54825,Sales & Markting,region_25,Bachelor's,m,other,1,30,3.0,2,0,0,47,0
77709,Sales & Markting,region_11,Bachelor's,f,sourcing,1,28,5.0,3,0,0,46,0
43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,1,0,67,0
74783,Opperations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,0,58,0
19318,Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,0,0,89,1
12096,,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,0,50,0
5102,Opperations,region_7,Bachelor's,m,sourcing,1,24,,1,1,0,56,0
29521,,region_15,Bachelor's,m,other,1,27,3.0,4,1,0,78,0
36371,Finance,region_28,Master's & above,m,other,2,34,3.0,7,0,0,56,0
51164,Technoogy,region_14,Bachelor's,f,other,1,31,4.0,4,1,1,78,0
17812,,region_27,Bachelor's,f,sourcing,1,30,4.0,2,0,0,77,0
7606,Technoogy,region_29,Bachelor's,f,other,2,30,3.0,7,1,1,76,0
50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,1,0,56,0
73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,1,0,84,0
29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,0,0,57,0
40262,Technoogy,region_2,Bachelor's,m,other,2,28,3.0,5,0,0,81,0
36904,Sales & Markting,region_15,,m,other,1,29,,2,0,0,51,0
62552,Sales & Markting,region_22,Master's & above,m,sourcing,1,46,3.0,11,1,0,51,0
63285,Technoogy,region_29,Bachelor's,m,sourcing,1,31,5.0,4,1,0,80,0
74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,0,0,72,0
75344,Sales & Markting,region_4,Master's & above,m,other,1,31,4.0,6,0,0,50,0
74018,HR,region_7,Master's & above,f,other,1,37,3.0,9,0,0,48,0
34985,Technoogy,region_5,Bachelor's,f,other,2,34,5.0,8,0,0,88,1
35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,1,0,70,1
6708,Opperations,region_22,Master's & above,m,sourcing,1,40,4.0,4,1,0,57,0
5515,Opperations,region_13,Master's & above,m,other,1,43,3.0,7,1,0,56,1
53373,Opperations,region_13,Bachelor's,m,other,1,36,1.0,5,0,0,56,0
69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,0,63,0
41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,0,0,56,0
50622,Analytics,region_25,Master's & above,m,other,1,34,5.0,2,0,0,84,0
30106,Sales & Markting,region_16,Bachelor's,f,sourcing,1,32,,4,1,0,45,0
45157,HR,region_4,Bachelor's,m,other,1,27,,1,1,0,50,0
23523,Technoogy,region_26,Bachelor's,m,sourcing,1,29,3.0,5,0,0,75,0
74349,Sales & Markting,region_5,Bachelor's,m,sourcing,1,34,1.0,4,0,0,48,0
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,1,0,70,0
42245,Procurement,region_22,Bachelor's,f,other,1,33,3.0,3,1,0,73,0
34405,Procurement,region_2,Master's & above,,other,1,33,5.0,4,1,0,67,0
4134,Sales & Markting,region_16,Bachelor's,f,other,1,39,1.0,8,0,0,45,0
23599,Technoogy,region_23,Master's & above,m,other,1,34,4.0,7,0,0,82,0
942,Technoogy,region_22,Bachelor's,m,other,2,32,4.0,6,0,0,84,0
5281,Sales & Markting,region_7,,m,other,1,34,4.0,6,0,0,53,0
197,,region_12,Bachelor's,m,other,1,29,5.0,6,1,0,61,0
37574,Sales & Markting,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,0,50,0
26773,Technoogy,region_7,Bachelor's,f,other,1,28,2.0,5,0,0,75,0
70034,Procurement,region_2,,f,other,2,35,3.0,9,0,0,70,0
40565,Technoogy,region_2,Bachelor's,f,other,2,40,3.0,3,0,0,86,0
17193,Sales & Markting,region_2,Bachelor's,f,other,2,27,2.0,4,0,0,54,0
76550,Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,1,0,70,0
53841,Opperations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,0,0,57,0
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,0,61,0
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,1,0,84,0
29757,Sales & Markting,region_14,Bachelor's,m,sourcing,1,43,3.0,15,0,0,51,0
6073,Sales & Markting,region_2,Bachelor's,,sourcing,3,27,4.0,4,0,0,49,0
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,1,0,70,0
34306,Procurement,region_13,Bachelor's,f,other,1,31,5.0,5,1,0,72,0
34041,,region_7,Bachelor's,m,other,1,40,4.0,11,0,0,58,0
21356,Opperations,region_15,Bachelor's,f,other,2,39,5.0,12,1,0,55,0
29540,Opperations,region_2,Bachelor's,f,other,2,30,3.0,6,0,0,57,0
51669,Technoogy,region_2,Master's & above,m,other,1,47,4.0,4,1,0,77,0
33825,Sales & Markting,region_17,,m,other,1,34,4.0,7,1,0,48,1
6254,Opperations,region_2,,f,other,1,33,4.0,9,0,0,64,0
11645,Sales & Markting,region_23,Master's & above,m,other,1,41,5.0,7,0,0,51,0
3231,Technoogy,region_7,Bachelor's,m,other,1,29,1.0,4,0,0,80,0
7030,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,0,86,0
54198,Procurement,region_7,Master's & above,f,other,1,47,5.0,9,0,0,68,0
62293,Opperations,region_27,,m,other,1,35,4.0,3,0,0,65,0
25312,Technoogy,region_22,Bachelor's,m,other,1,27,4.0,2,0,0,75,0
75610,Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,0,0,81,0
16518,Sales & Markting,region_20,,m,sourcing,2,36,3.0,9,0,0,49,0
42747,Sales & Markting,region_15,Bachelor's,m,other,2,35,1.0,8,0,0,39,0
67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,0,0,70,0
53630,Sales & Markting,region_23,Master's & above,f,sourcing,1,34,4.0,5,1,1,94,1
72423,Opperations,region_2,Master's & above,m,sourcing,1,39,3.0,2,1,0,60,0
73022,Sales & Markting,region_25,Bachelor's,m,other,1,26,5.0,2,1,0,51,0
63976,Opperations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,0,0,56,0
60761,Opperations,region_16,,f,other,1,31,4.0,2,0,0,62,0
57228,HR,region_2,Master's & above,m,sourcing,1,44,5.0,6,0,0,48,0
14912,Sales & Markting,region_1,Bachelor's,m,other,1,38,3.0,4,1,0,49,0
22725,Technoogy,region_26,Bachelor's,m,other,1,40,1.0,3,0,0,78,0
18981,,region_2,Master's & above,m,sourcing,1,50,,6,0,1,58,0
50845,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,0,70,0
11800,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,0,69,0
16351,Sales & Markting,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,0,53,0
75881,,region_27,Bachelor's,m,sourcing,1,25,1.0,4,0,0,80,0
73200,Opperations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,1,0,58,0
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,0,85,0
58338,Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,1,0,81,0
40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,,8,0,0,67,0
70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4.0,8,0,0,86,0
27188,Analytics,region_13,Master's & above,m,other,1,30,3.0,4,1,0,80,0
24291,Analytics,region_26,Bachelor's,m,other,2,27,5.0,3,1,0,85,0
43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,0,0,68,0
52231,Opperations,region_2,Bachelor's,m,sourcing,1,43,3.0,3,0,0,58,0
34241,Analytics,region_22,Bachelor's,,other,2,28,3.0,5,1,0,86,0
76661,Procurement,region_17,,m,other,1,31,,3,1,0,68,0
50595,Opperations,region_2,Bachelor's,f,other,1,43,4.0,12,0,0,58,0
67673,Opperations,region_4,Bachelor's,f,other,1,35,5.0,9,1,0,60,0
10547,Sales & Markting,region_5,Bachelor's,m,other,2,35,3.0,9,0,0,49,0
73405,Opperations,region_2,Master's & above,m,other,1,50,3.0,8,1,0,59,0
73114,HR,region_17,Bachelor's,f,other,1,26,4.0,3,0,0,50,0
22572,Sales & Markting,region_27,Bachelor's,m,sourcing,1,32,3.0,5,1,0,52,0
62923,Opperations,region_13,Master's & above,f,other,1,38,5.0,2,1,1,93,1
57235,Sales & Markting,region_26,,m,other,1,22,4.0,2,0,0,51,0
22300,HR,region_20,Bachelor's,m,other,1,28,,1,1,0,52,0
24090,Procurement,region_14,,,sourcing,1,37,3.0,9,0,0,69,0
57298,Analytics,region_2,,m,sourcing,2,54,3.0,9,1,0,86,0
25629,Sales & Markting,region_11,Bachelor's,m,sourcing,1,36,3.0,8,0,0,51,0
71339,Technoogy,region_6,Bachelor's,m,other,1,35,3.0,8,0,0,78,0
54714,Analytics,region_29,Bachelor's,m,other,1,39,3.0,4,1,0,85,0
7390,Opperations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,1,0,63,0
9563,Opperations,region_31,Bachelor's,m,other,2,38,3.0,7,1,1,60,0
39107,Sales & Markting,region_22,Bachelor's,m,sourcing,1,28,1.0,2,0,0,48,0
19445,Sales & Markting,region_7,Bachelor's,m,sourcing,3,26,2.0,3,0,0,52,0
42636,Sales & Markting,region_26,Bachelor's,m,sourcing,1,29,,1,0,0,54,0
32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3.0,4,0,0,84,0
43396,Opperations,region_22,Bachelor's,m,sourcing,2,37,2.0,4,1,0,57,1
24414,R&D,region_2,,m,other,1,25,,1,1,0,76,0
63237,Technoogy,region_22,Bachelor's,m,referred,1,26,4.0,2,0,0,82,0
32838,Technoogy,region_7,Bachelor's,m,other,1,31,4.0,4,0,0,78,0
23003,Technoogy,region_14,Bachelor's,f,other,1,38,,7,1,0,82,0
45198,Sales & Markting,region_13,Bachelor's,m,other,1,39,4.0,9,0,0,49,0
40376,Sales & Markting,region_4,Bachelor's,m,other,1,30,5.0,4,0,1,50,0
60176,Procurement,region_15,Master's & above,f,other,1,34,5.0,8,1,0,67,0
67652,,region_23,Master's & above,f,other,1,33,3.0,5,1,0,72,0
15476,Technoogy,region_2,Bachelor's,f,other,1,29,5.0,3,1,0,78,0
55811,Opperations,region_2,Bachelor's,m,sourcing,1,28,4.0,2,1,0,61,0
15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,0,56,0
10058,Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,1,0,87,0
73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5.0,4,0,0,64,0
51255,Sales & Markting,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,0,46,0
70060,Technoogy,region_13,Master's & above,m,other,1,43,,14,0,0,79,0
51473,Sales & Markting,region_15,,m,other,1,34,1.0,8,0,0,39,0
71904,Technoogy,region_7,Master's & above,,other,2,38,3.0,10,0,0,88,0
76080,Opperations,region_7,Bachelor's,f,other,1,34,1.0,5,0,0,54,0
33357,Opperations,region_22,Bachelor's,m,sourcing,1,41,4.0,4,0,0,63,0
53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1.0,4,0,0,61,0
26409,Opperations,region_2,Bachelor's,m,other,1,33,4.0,3,0,0,61,0
59608,Sales & Markting,region_2,Master's & above,f,other,1,41,,5,1,0,48,0
28687,Opperations,region_2,Master's & above,m,other,3,38,3.0,11,0,0,57,0
34312,Procurement,region_2,Master's & above,f,other,2,54,4.0,23,0,0,66,0
11438,Sales & Markting,region_13,,f,sourcing,2,34,2.0,8,0,0,49,0
11794,R&D,region_2,Bachelor's,m,other,2,26,5.0,3,1,0,87,0
48756,Opperations,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,0,59,0
35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,0,62,0
13970,Opperations,region_33,Master's & above,m,other,1,36,3.0,4,0,0,60,0
49868,Technoogy,region_5,,m,other,1,45,3.0,15,0,0,87,0
25261,,region_7,Master's & above,m,other,1,38,4.0,7,0,0,66,0
44536,,region_27,Bachelor's,f,other,1,26,2.0,4,0,0,47,0
55550,Analytics,region_27,,m,sourcing,1,31,3.0,4,0,0,85,0
27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3.0,7,0,0,87,0
12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4.0,4,0,0,78,0
32877,Sales & Markting,region_2,Bachelor's,f,other,1,40,,12,0,0,50,0
30682,Technoogy,region_2,Bachelor's,m,referred,2,29,4.0,6,0,0,75,0
1829,Analytics,region_28,Bachelor's,m,other,2,31,5.0,7,1,0,87,0
2177,Finance,region_16,Bachelor's,m,other,1,32,5.0,6,1,0,58,0
51771,Opperations,region_17,Bachelor's,m,other,1,42,5.0,11,0,0,67,0
26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5.0,3,1,0,65,0
64977,Procurement,region_16,Bachelor's,f,other,1,24,3.0,2,1,0,70,0
44585,Sales & Markting,region_30,Bachelor's,m,sourcing,1,35,3.0,7,0,0,56,0
43562,Technoogy,region_5,Bachelor's,f,sourcing,2,32,1.0,3,0,0,80,0
56287,HR,region_2,Bachelor's,f,sourcing,1,22,3.0,2,0,0,47,0
19100,Sales & Markting,region_2,Bachelor's,m,sourcing,2,44,5.0,14,0,0,48,0
58203,Opperations,region_16,Bachelor's,m,other,2,39,3.0,9,0,0,58,0
12504,Technoogy,region_7,Bachelor's,f,other,1,46,4.0,17,0,0,85,0
49126,Technoogy,region_15,Bachelor's,m,other,1,29,2.0,5,0,0,77,0
66469,Finance,region_7,Bachelor's,m,other,1,26,1.0,3,0,0,59,0
53350,Opperations,region_23,Bachelor's,m,other,1,35,4.0,5,0,0,61,0
22031,Procurement,region_2,Bachelor's,f,other,1,29,4.0,2,1,0,95,1
36185,Technoogy,region_13,Bachelor's,m,sourcing,1,30,2.0,9,0,0,79,0
58415,Sales & Markting,region_7,Bachelor's,m,other,1,45,4.0,5,0,0,50,0
71763,Sales & Markting,region_15,Bachelor's,f,other,1,30,,6,0,0,47,0
62742,Finance,region_32,Bachelor's,m,sourcing,1,28,2.0,4,0,0,59,0
33619,Technoogy,region_2,Master's & above,,sourcing,1,46,5.0,10,1,0,76,0
41212,Procurement,region_7,Bachelor's,m,sourcing,1,27,2.0,2,0,0,69,0
40204,Sales & Markting,region_11,Bachelor's,m,sourcing,1,34,2.0,5,0,0,47,0
59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5.0,3,1,0,86,0
12559,Opperations,region_22,Bachelor's,f,other,1,35,5.0,10,0,0,63,0
30433,Procurement,region_27,Bachelor's,m,other,1,36,4.0,3,1,0,66,0
13150,Procurement,region_2,Master's & above,f,other,1,58,1.0,13,0,0,70,0
9616,Finance,region_31,Bachelor's,m,other,1,29,4.0,4,0,0,57,0
26563,Procurement,region_2,Bachelor's,f,referred,1,33,,3,1,0,67,0
38331,Opperations,region_16,Bachelor's,f,other,1,32,5.0,6,0,0,62,0
18651,Legal,region_22,Below Secondary,m,other,1,25,5.0,2,1,0,59,0
45004,Procurement,region_13,Bachelor's,m,other,4,41,2.0,9,0,0,68,0
11892,Procurement,region_12,Bachelor's,f,other,1,25,,1,1,0,69,0
16859,Analytics,region_2,Master's & above,m,other,1,50,,7,0,1,79,0
26107,Sales & Markting,region_26,Bachelor's,m,other,1,30,1.0,7,0,0,53,0
22511,Technoogy,region_24,Bachelor's,m,sourcing,1,28,,1,0,0,81,0
22865,Analytics,region_20,Master's & above,m,other,1,40,5.0,5,0,1,83,1
67467,Finance,region_2,Below Secondary,f,other,1,26,3.0,2,0,0,61,0
2268,Technoogy,region_13,Bachelor's,m,other,1,35,5.0,8,1,0,81,0
33517,Sales & Markting,region_7,Master's & above,m,other,1,37,,7,1,0,52,0
27605,Opperations,region_22,Master's & above,m,other,1,34,3.0,3,0,0,75,1
69349,Opperations,region_8,Bachelor's,m,sourcing,1,25,3.0,2,0,0,57,0
45496,Sales & Markting,region_2,,m,other,1,22,5.0,2,0,0,62,1
66262,Procurement,region_2,Bachelor's,f,other,2,26,5.0,2,1,0,68,1
55425,Technoogy,region_2,Bachelor's,f,other,1,31,4.0,7,1,0,80,0
29543,Finance,region_2,Bachelor's,m,sourcing,4,31,5.0,3,1,0,60,0
36547,Analytics,region_25,Bachelor's,m,sourcing,1,32,3.0,6,1,0,86,0
11205,Sales & Markting,region_19,Bachelor's,m,sourcing,1,36,5.0,8,0,0,48,0
469,Technoogy,region_2,Bachelor's,f,sourcing,1,57,3.0,19,0,0,81,0
44703,Sales & Markting,region_2,Bachelor's,f,sourcing,1,42,4.0,9,0,0,51,0
14847,Sales & Markting,region_20,Bachelor's,m,other,1,28,3.0,3,0,0,48,0
43689,Analytics,region_12,Bachelor's,m,sourcing,2,33,4.0,3,1,0,86,0
